name,stamina,attack_value,defense_value,capture_rate,flee_rate,spawn_chance,primary_strength,combat_point
Bulbasaur,90,126,126,0.16,0.1,69,Grass,1079
Ivysaur,120,156,158,0.08,0.07,4.2,Grass,1643
Venusaur,160,198,200,0.04,0.05,1.7,Grass,2598
Charmander,78,128,108,0.16,0.1,25.3,Fire,962
Charmeleon,116,160,140,0.08,0.07,1.2,Fire,1568
Charizard,156,212,182,0.04,0.05,0.31,Fire,2620
Squirtle,88,112,142,0.16,0.1,58,Water,1015
Wartortle,118,144,176,0.08,0.07,3.4,Water,1594
Blastoise,158,186,222,0.04,0.05,0.67,Water,2560
Caterpie,90,62,66,0.4,0.2,303.2,Bug,446
Metapod,100,56,86,0.2,0.09,18.7,Bug,481
Butterfree,120,144,144,0.1,0.06,2.2,Bug,1465
Weedle,80,68,64,0.4,0.2,712,Bug,452
Kakuna,90,62,82,0.2,0.09,44,Bug,488
Beedrill,130,144,130,0.1,0.06,5.1,Bug,1450
Pidgey,80,94,90,0.4,0.2,1598,Normal,684
Pidgeotto,126,126,122,0.2,0.09,102,Normal,1232
Pidgeot,166,170,166,0.1,0.06,13,Normal,2106
Rattata,60,92,86,0.4,0.2,1305,Normal,585
Raticate,110,146,150,0.16,0.07,41,Normal,1454
Spearow,80,102,78,0.4,0.15,473,Normal,691
Fearow,130,168,146,0.16,0.07,15,Normal,1758
Ekans,70,112,112,0.4,0.15,227,Poison,830
Arbok,120,166,166,0.16,0.07,7.2,Poison,1779
Pikachu,70,124,108,0.16,0.1,21,Electric,894
Raichu,120,200,154,0.08,0.06,0.76,Electric,2042
Sandshrew,100,90,114,0.4,0.1,111,Ground,804
Sandslash,150,150,172,0.16,0.06,3.7,Ground,1823
Nidoran?,110,100,104,0.4,0.15,138,Poison,882
Nidorina,140,132,136,0.2,0.07,8.8,Poison,1414
Nidoqueen,180,184,190,0.1,0.05,1.2,Poison,2502
Nidoran?,92,110,94,0.4,0.15,131,Poison,849
Nidorino,122,142,128,0.2,0.07,8.3,Poison,1382
Nidoking,162,204,170,0.1,0.05,1.7,Poison,2492
Clefairy,140,116,124,0.24,0.1,92,Fairy,1209
Clefable,190,178,178,0.08,0.06,1.2,Fairy,2414
Vulpix,76,106,118,0.24,0.1,22,Fire,837
Ninetales,146,176,194,0.08,0.06,0.77,Fire,2203
Jigglypuff,230,98,54,0.4,0.1,39,Normal,924
Wigglytuff,280,168,108,0.16,0.06,1.8,Normal,2192
Zubat,80,88,90,0.4,0.2,652,Poison,647
Golbat,150,164,164,0.16,0.07,42,Poison,1935
Oddish,90,134,130,0.48,0.15,102,Grass,1156
Gloom,120,162,158,0.24,0.07,6.4,Grass,1701
